문항,단원,유형,난이도,형식,배점,출처,원문항,정답
1,소인수분해,공식 활용,상,객관식,3,입학 심화형,3,④ 12
2,소인수분해,근거 제시,상,객관식,3,입학 심화형,4,④
3,소인수분해,단계별 해결,최상,객관식,3,입학 심화형,2,① 60
4,소인수분해,식 설정,상,객관식,3,응용,4,④ 15장
5,소인수분해,표현 해석,상,객관식,3,입학 심화형,1,② 4
6,소인수분해,단계별 해결,최상,객관식,3,입학 심화형,5,⑤ 140/3
7,소인수분해,규칙 발견,최상,서술형,5,입학 심화형,22,118
8,정수와 유리수,연산 처리,상,객관식,3,입학 심화형,7,④ -4
9,정수와 유리수,규칙 발견,표준,서술형,4,응용,23,31
10,정수와 유리수,표현 해석,상,객관식,3,입학 심화형,10,③ 4
11,정수와 유리수,공식 활용,상,객관식,3,입학 심화형,9,⑤ -1/a²
12,정수와 유리수,단계별 해결,표준,서술형,4,응용,24,14
13,정수와 유리수,근거 제시,최상,객관식,3,입학 심화형,6,② b < d < a < c
14,정수와 유리수,연산 처리,상,서술형,4,입학 심화형,25,26
15,문자와 식,개념 이해,표준,객관식,3,심화,11,⑤ -5
16,문자와 식,연산 처리,상,객관식,3,응용,13,③ 5x - 8y
17,문자와 식,규칙 발견,상,객관식,3,입학 심화형,11,③ 7x
18,문자와 식,식 설정,상,객관식,3,입학 심화형,12,④ (2a+3b)/5 %
19,문자와 식,연산 처리,최상,객관식,3,응용,12,① -2
20,일차방정식,공식 활용,표준,객관식,3,응용,14,③ x = -1
21,일차방정식,식 설정,표준,서술형,4,심화,28,20개
22,일차방정식,근거 제시,표준,객관식,3,입학 심화형,13,③
23,일차방정식,식 설정,최상,객관식,3,입학 심화형,14,④ 123
24,일차방정식,개념 이해,최상,서술형,5,응용,26,6
25,일차방정식,식 설정,최상,객관식,3,입학 심화형,15,① 80 m
26,좌표평면과 그래프,표현 해석,표준,객관식,3,응용,18,"② ㄱ, ㄷ, ㄴ"
27,좌표평면과 그래프,개념 이해,상,객관식,3,입학 심화형,18,"①, ⑤"
28,좌표평면과 그래프,표현 해석,상,객관식,3,입학 심화형,16,⑤
29,좌표평면과 그래프,단계별 해결,상,객관식,3,입학 심화형,19,② 12
30,좌표평면과 그래프,공식 활용,최상,서술형,5,심화,29,0
