문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,기본 도형과 작도,개념 이해,개념 이해,공식 활용,표준,객관식,2,단원 TEST Ⅴ,2,⑤ 20
2,기본 도형과 작도,연산 처리,개념 이해,연산 처리,표준,객관식,2,단원 TEST Ⅴ,3,④ 90°
3,기본 도형과 작도,표현 해석,표현 해석,개념 이해,상,객관식,3,총괄 기본,4,③ AD 와 BF 는 평행하다
4,기본 도형과 작도,공식 활용,공식 활용,단계별 해결,상,객관식,3,단원 TEST Ⅴ,9,③ 40°
5,기본 도형과 작도,연산 처리,표현 해석,연산 처리,상,객관식,3,총괄 심화,1,⑤ 15cm
6,기본 도형과 작도,공식 활용,공식 활용,단계별 해결,최상,서술형,5,총괄 심화,21,70°
7,기본 도형과 작도,근거 제시,근거 제시,단계별 해결,최상,객관식,4,중1-2 입학 심화형,22,③ 9cm
8,기본 도형과 작도,근거 제시,근거 제시,개념 이해,최상,객관식,4,총괄 응용,6,② 1개
9,평면도형의 성질,공식 활용,공식 활용,개념 이해,표준,객관식,2,총괄 심화,6,④ 정십각형
10,평면도형의 성질,식 설정,식 설정,공식 활용,상,객관식,3,단원 TEST Ⅵ,3,④ 70°
11,평면도형의 성질,근거 제시,근거 제시,공식 활용,상,객관식,3,단원 TEST Ⅵ,6,"④ ㄴ, ㄷ"
12,평면도형의 성질,표현 해석,표현 해석,공식 활용,상,객관식,3,총괄 응용,7,④ 20번
13,평면도형의 성질,식 설정,식 설정,공식 활용,상,서술형,4,총괄 응용,23,95°
14,평면도형의 성질,규칙 발견,규칙 발견,공식 활용,최상,서술형,5,총괄 기본,26,52
15,평면도형의 성질,단계별 해결,단계별 해결,공식 활용,최상,객관식,4,단원 TEST Ⅵ,12,④ 8 : 5
16,평면도형의 성질,규칙 발견,규칙 발견,공식 활용,최상,객관식,4,총괄 응용,10,⑤ (25 - 25π/6) cm²
17,입체도형의 성질,개념 이해,개념 이해,근거 제시,상,객관식,3,총괄 기본,13,⑤
18,입체도형의 성질,공식 활용,공식 활용,규칙 발견,상,서술형,4,총괄 기본,28,12
19,입체도형의 성질,개념 이해,개념 이해,표현 해석,상,객관식,3,단원 TEST Ⅶ,9,④
20,입체도형의 성질,표현 해석,표현 해석,개념 이해,상,객관식,3,중1-2 입학 일반형,13,⑤ AB
21,입체도형의 성질,단계별 해결,단계별 해결,표현 해석,최상,객관식,4,총괄 기본,15,⑤ 240π cm²
22,입체도형의 성질,규칙 발견,규칙 발견,단계별 해결,최상,객관식,4,총괄 심화,14,③ 1152 cm²
23,입체도형의 성질,규칙 발견,규칙 발견,식 설정,최상,객관식,4,총괄 심화,27,③ 12/5 cm
24,자료의 정리와 해석,개념 이해,개념 이해,근거 제시,표준,객관식,2,단원 TEST Ⅷ,3,"④ 30, 32, 34, 36, 100"
25,자료의 정리와 해석,연산 처리,연산 처리,근거 제시,표준,객관식,2,단원 TEST Ⅷ,5,③
26,자료의 정리와 해석,단계별 해결,단계별 해결,개념 이해,상,객관식,3,단원 TEST Ⅷ,1,"③ 중앙값 5, 최빈값 3과 6"
27,자료의 정리와 해석,공식 활용,공식 활용,개념 이해,상,객관식,3,단원 TEST Ⅷ,11,② 200
28,자료의 정리와 해석,단계별 해결,단계별 해결,개념 이해,상,객관식,3,총괄 심화,16,④ 13
29,자료의 정리와 해석,식 설정,식 설정,표현 해석,상,서술형,4,중1-2 입학 일반형,30,300
30,자료의 정리와 해석,규칙 발견,규칙 발견,식 설정,최상,객관식,4,총괄 응용,19,③ 340
