시험지,과목,문항번호,단원,유형,주유형,부유형,난이도,형식,배점,정답,출처,원문항,문제지,해설,출제표
중2-1 진단평가,수학,1,유리수와 순환소수,식 설정,식 설정,개념 이해,표준,객관식,2,③ 51,총괄 심화,2,중2-1_진단평가_문제지.pdf,중2-1_진단평가_해설.pdf,중2-1_진단평가_출제표.csv
중2-1 진단평가,수학,2,유리수와 순환소수,근거 제시,근거 제시,공식 활용,상,객관식,3,"⑤ ㄴ, ㄷ, ㅁ",단원 TEST Ⅰ,19,,,
중2-1 진단평가,수학,3,유리수와 순환소수,표현 해석,표현 해석,연산 처리,상,객관식,3,④ 15,총괄 심화,21,,,
중2-1 진단평가,수학,4,유리수와 순환소수,개념 이해,개념 이해,근거 제시,상,객관식,3,⑤,중2-1 입학 일반형,3,,,
중2-1 진단평가,수학,5,유리수와 순환소수,규칙 발견,규칙 발견,연산 처리,최상,서술형,5,356,중2-1 입학 일반형,22,,,
중2-1 진단평가,수학,6,식의 계산,공식 활용,공식 활용,연산 처리,표준,서술형,3,4,단원 TEST Ⅱ,1,,,
중2-1 진단평가,수학,7,식의 계산,식 설정,식 설정,연산 처리,상,객관식,3,③ xy^2 - 2y,총괄 기본,6,,,
중2-1 진단평가,수학,8,식의 계산,식 설정,식 설정,연산 처리,상,객관식,3,② 3x^2y^2,단원 TEST Ⅱ,7,,,
중2-1 진단평가,수학,9,식의 계산,연산 처리,연산 처리,식 설정,상,객관식,3,② -(2/3)y,총괄 심화,6,,,
중2-1 진단평가,수학,10,식의 계산,단계별 해결,단계별 해결,연산 처리,최상,객관식,4,③ 12,총괄 응용,8,,,
중2-1 진단평가,수학,11,식의 계산,단계별 해결,단계별 해결,연산 처리,최상,객관식,4,③ -55,중2-1 입학 일반형,23,,,
중2-1 진단평가,수학,12,부등식,개념 이해,개념 이해,근거 제시,표준,객관식,2,④ -7a - 1 < -7b - 1,단원 TEST Ⅲ,2,,,
중2-1 진단평가,수학,13,부등식,표현 해석,표현 해석,근거 제시,상,객관식,3,"①, ④",단원 TEST Ⅲ,1,,,
중2-1 진단평가,수학,14,부등식,표현 해석,표현 해석,연산 처리,상,객관식,3,"③, ④",총괄 심화,8,,,
중2-1 진단평가,수학,15,부등식,연산 처리,연산 처리,근거 제시,상,객관식,3,② x - 4x > -6,중2-1 입학 심화형,9,,,
중2-1 진단평가,수학,16,부등식,근거 제시,근거 제시,단계별 해결,최상,객관식,4,④ 11,총괄 기본,9,,,
중2-1 진단평가,수학,17,부등식,규칙 발견,규칙 발견,식 설정,최상,서술형,5,238g,총괄 응용,13,,,
중2-1 진단평가,수학,18,방정식,개념 이해,개념 이해,연산 처리,표준,객관식,2,④ 0,단원 TEST Ⅳ,2,,,
중2-1 진단평가,수학,19,방정식,연산 처리,연산 처리,단계별 해결,상,객관식,3,② -2,총괄 기본,12,,,
중2-1 진단평가,수학,20,방정식,공식 활용,공식 활용,연산 처리,상,객관식,3,"④ x = 1, y = 4",총괄 기본,26,,,
중2-1 진단평가,수학,21,방정식,개념 이해,개념 이해,공식 활용,상,객관식,3,④ 4,단원 TEST Ⅳ,10,,,
중2-1 진단평가,수학,22,방정식,규칙 발견,규칙 발견,단계별 해결,최상,서술형,5,8,총괄 기본,13,,,
중2-1 진단평가,수학,23,방정식,식 설정,식 설정,연산 처리,최상,객관식,4,③ 1500원,단원 TEST Ⅳ,16,,,
중2-1 진단평가,수학,24,일차함수,공식 활용,공식 활용,연산 처리,표준,객관식,2,① -10,단원 TEST Ⅴ,10,,,
중2-1 진단평가,수학,25,일차함수,개념 이해,개념 이해,근거 제시,상,객관식,3,"②, ④",총괄 기본,16,,,
중2-1 진단평가,수학,26,일차함수,단계별 해결,단계별 해결,표현 해석,상,객관식,3,② 27/8,단원 TEST Ⅴ,16,,,
중2-1 진단평가,수학,27,일차함수,단계별 해결,단계별 해결,공식 활용,상,객관식,3,④ 3,총괄 응용,28,,,
중2-1 진단평가,수학,28,일차함수,근거 제시,근거 제시,표현 해석,최상,객관식,4,③ 3/5 <= a <= 3,총괄 기본,20,,,
중2-1 진단평가,수학,29,일차함수,식 설정,식 설정,표현 해석,최상,객관식,4,② 21초,중2-1 입학 심화형,18,,,
중2-1 진단평가,수학,30,일차함수,표현 해석,표현 해석,공식 활용,최상,서술형,5,2/3,중2-1 입학 심화형,19,,,
