학생,시험지,응시일,문항번호,형식,배점,득점,OX
,중2-2 진단평가,,1,객관식,3,,
,중2-2 진단평가,,2,객관식,3,,
,중2-2 진단평가,,3,서술형,5,,
,중2-2 진단평가,,4,객관식,3,,
,중2-2 진단평가,,5,객관식,3,,
,중2-2 진단평가,,6,객관식,3,,
,중2-2 진단평가,,7,객관식,3,,
,중2-2 진단평가,,8,객관식,3,,
,중2-2 진단평가,,9,객관식,3,,
,중2-2 진단평가,,10,객관식,3,,
,중2-2 진단평가,,11,서술형,5,,
,중2-2 진단평가,,12,객관식,3,,
,중2-2 진단평가,,13,객관식,3,,
,중2-2 진단평가,,14,객관식,3,,
,중2-2 진단평가,,15,객관식,3,,
,중2-2 진단평가,,16,객관식,3,,
,중2-2 진단평가,,17,객관식,3,,
,중2-2 진단평가,,18,객관식,3,,
,중2-2 진단평가,,19,객관식,3,,
,중2-2 진단평가,,20,서술형,5,,
,중2-2 진단평가,,21,객관식,3,,
,중2-2 진단평가,,22,객관식,3,,
,중2-2 진단평가,,23,서술형,5,,
,중2-2 진단평가,,24,객관식,3,,
,중2-2 진단평가,,25,객관식,3,,
,중2-2 진단평가,,26,객관식,3,,
,중2-2 진단평가,,27,객관식,3,,
,중2-2 진단평가,,28,객관식,3,,
,중2-2 진단평가,,29,객관식,3,,
,중2-2 진단평가,,30,서술형,5,,
