문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,다항식,연산 처리,연산 처리,공식 활용,표준,객관식,2,총괄 기본,1,④ 4x³ - 6x² + 2x
2,다항식,연산 처리,연산 처리,근거 제시,표준,객관식,2,총괄 기본,4,④
3,다항식,개념 이해,개념 이해,표현 해석,상,객관식,3,단원 TEST Ⅰ,11,"③ (1/3)Q(x), R"
4,다항식,표현 해석,표현 해석,연산 처리,상,객관식,3,총괄 심화,1,④ 3x² - 7x + 11
5,다항식,공식 활용,공식 활용,단계별 해결,상,객관식,3,공통수학1 입학 일반형,2,① 10
6,다항식,단계별 해결,단계별 해결,근거 제시,상,객관식,3,공통수학1 입학 일반형,5,"⑤ ㄱ, ㄷ, ㄹ, ㅁ"
7,다항식,표현 해석,표현 해석,단계별 해결,최상,서술형,5,단원 TEST Ⅰ,19,38
8,다항식,규칙 발견,규칙 발견,공식 활용,최상,객관식,4,총괄 응용,6,① -3
9,방정식과 부등식,연산 처리,연산 처리,공식 활용,표준,객관식,2,총괄 기본,7,③ 3
10,방정식과 부등식,근거 제시,근거 제시,개념 이해,상,객관식,3,총괄 기본,6,④
11,방정식과 부등식,표현 해석,표현 해석,단계별 해결,상,객관식,3,총괄 기본,8,① -3
12,방정식과 부등식,규칙 발견,규칙 발견,표현 해석,상,객관식,3,단원 TEST Ⅱ,6,① 2
13,방정식과 부등식,공식 활용,공식 활용,단계별 해결,상,서술형,4,단원 TEST Ⅱ,17,6
14,방정식과 부등식,단계별 해결,단계별 해결,식 설정,상,객관식,3,총괄 응용,14,① -7
15,방정식과 부등식,식 설정,식 설정,단계별 해결,상,객관식,3,공통수학1 입학 일반형,6,④ 1
16,방정식과 부등식,단계별 해결,단계별 해결,규칙 발견,상,객관식,3,공통수학1 입학 일반형,9,① 5
17,방정식과 부등식,개념 이해,개념 이해,근거 제시,최상,객관식,4,단원 TEST Ⅱ,1,⑤
18,방정식과 부등식,식 설정,식 설정,단계별 해결,최상,서술형,5,단원 TEST Ⅱ,20,6
19,방정식과 부등식,근거 제시,근거 제시,단계별 해결,최상,객관식,4,공통수학1 입학 심화형,7,③ 3
20,방정식과 부등식,규칙 발견,규칙 발견,단계별 해결,최상,객관식,4,공통수학1 입학 심화형,11,② -1
21,방정식과 부등식,공식 활용,공식 활용,단계별 해결,최상,객관식,4,총괄 응용,9,④ -2
22,경우의 수,공식 활용,공식 활용,단계별 해결,표준,객관식,2,총괄 기본,16,② 144
23,경우의 수,규칙 발견,규칙 발견,공식 활용,상,객관식,3,단원 TEST Ⅲ,6,④ 576
24,경우의 수,근거 제시,근거 제시,공식 활용,상,객관식,3,단원 TEST Ⅲ,9,① 15
25,경우의 수,공식 활용,공식 활용,근거 제시,상,객관식,3,공통수학1 입학 심화형,17,① 36
26,경우의 수,단계별 해결,단계별 해결,근거 제시,상,객관식,3,공통수학1 입학 일반형,14,③ 1280
27,경우의 수,식 설정,식 설정,단계별 해결,최상,객관식,4,총괄 심화,17,① 2
28,경우의 수,단계별 해결,단계별 해결,공식 활용,최상,서술형,5,공통수학1 입학 일반형,29,10
29,행렬,개념 이해,개념 이해,표현 해석,표준,객관식,2,총괄 기본,19,"③ ㄴ, ㄷ"
30,행렬,규칙 발견,규칙 발견,단계별 해결,최상,서술형,5,총괄 기본,30,5
