시험지,과목,문항번호,단원,유형,주유형,부유형,난이도,형식,배점,정답,출처,원문항,문제지,해설,출제표
공통수학2 진단평가,수학,1,도형의 방정식,연산 처리,연산 처리,공식 활용,표준,객관식,2,④ 6,총괄 응용,3,공통수학2_진단평가_문제지.pdf,공통수학2_진단평가_해설.pdf,공통수학2_진단평가_출제표.csv
공통수학2 진단평가,수학,2,도형의 방정식,식 설정,식 설정,연산 처리,표준,객관식,2,④ 9,공통수학2 입학 일반형,2,,,
공통수학2 진단평가,수학,3,도형의 방정식,공식 활용,공식 활용,연산 처리,상,객관식,3,① -√3 < m < √3,총괄 기본,4,,,
공통수학2 진단평가,수학,4,도형의 방정식,연산 처리,연산 처리,단계별 해결,상,객관식,3,③ -30,단원 TEST Ⅰ,13,,,
공통수학2 진단평가,수학,5,도형의 방정식,근거 제시,근거 제시,단계별 해결,상,주관식,4,3,단원 TEST Ⅰ,16,,,
공통수학2 진단평가,수학,6,도형의 방정식,식 설정,식 설정,공식 활용,상,객관식,3,④ 2 + √2,총괄 심화,4,,,
공통수학2 진단평가,수학,7,도형의 방정식,근거 제시,근거 제시,공식 활용,상,객관식,3,③ 3√7,공통수학2 입학 심화형,6,,,
공통수학2 진단평가,수학,8,도형의 방정식,공식 활용,공식 활용,연산 처리,상,객관식,3,④ 15,공통수학2 입학 일반형,3,,,
공통수학2 진단평가,수학,9,도형의 방정식,단계별 해결,단계별 해결,근거 제시,상,주관식,4,1,공통수학2 입학 일반형,23,,,
공통수학2 진단평가,수학,10,도형의 방정식,규칙 발견,규칙 발견,표현 해석,최상,객관식,4,③ 0,공통수학2 입학 일반형,4,,,
공통수학2 진단평가,수학,11,집합과 명제,규칙 발견,규칙 발견,표현 해석,표준,객관식,2,④ A = {x | × 는 4로 나눈 나머지가 2인 자연수},총괄 기본,9,,,
공통수학2 진단평가,수학,12,집합과 명제,개념 이해,개념 이해,근거 제시,표준,객관식,2,"⑤ ㄱ, ㄷ",단원 TEST Ⅱ,1,,,
공통수학2 진단평가,수학,13,집합과 명제,식 설정,식 설정,단계별 해결,상,객관식,3,① 1,총괄 기본,15,,,
공통수학2 진단평가,수학,14,집합과 명제,공식 활용,공식 활용,연산 처리,상,주관식,4,2,총괄 기본,26,,,
공통수학2 진단평가,수학,15,집합과 명제,규칙 발견,규칙 발견,단계별 해결,상,객관식,3,③ 11,총괄 심화,6,,,
공통수학2 진단평가,수학,16,집합과 명제,식 설정,식 설정,단계별 해결,상,주관식,4,3,총괄 심화,27,,,
공통수학2 진단평가,수학,17,집합과 명제,개념 이해,개념 이해,근거 제시,상,객관식,3,"⑤ a, b, c 중에서 서로 다른 것이 적어도 하나 있다",공통수학2 입학 심화형,11,,,
공통수학2 진단평가,수학,18,집합과 명제,표현 해석,표현 해석,단계별 해결,상,객관식,3,"④ {2, 3, 4, 5, 6}",총괄 응용,8,,,
공통수학2 진단평가,수학,19,집합과 명제,단계별 해결,단계별 해결,근거 제시,최상,객관식,4,③ P^C ⊂ R^C,공통수학2 입학 심화형,12,,,
공통수학2 진단평가,수학,20,함수와 그래프,연산 처리,연산 처리,개념 이해,표준,객관식,2,① -8,공통수학2 입학 일반형,14,,,
공통수학2 진단평가,수학,21,함수와 그래프,단계별 해결,단계별 해결,연산 처리,상,객관식,3,③ 13/3,단원 TEST Ⅲ,8,,,
공통수학2 진단평가,수학,22,함수와 그래프,표현 해석,표현 해석,개념 이해,상,객관식,3,"⑤ ㄴ, ㄷ",총괄 심화,17,,,
공통수학2 진단평가,수학,23,함수와 그래프,표현 해석,표현 해석,근거 제시,최상,객관식,4,④ d,단원 TEST Ⅲ,6,,,
공통수학2 진단평가,수학,24,함수와 그래프,단계별 해결,단계별 해결,공식 활용,최상,객관식,4,② 6√2,단원 TEST Ⅲ,11,,,
공통수학2 진단평가,수학,25,함수와 그래프,근거 제시,근거 제시,단계별 해결,최상,객관식,4,③ 0,단원 TEST Ⅲ,12,,,
공통수학2 진단평가,수학,26,함수와 그래프,근거 제시,근거 제시,식 설정,최상,객관식,4,③ 1/2 ≤ m ≤ 7,단원 TEST Ⅲ,15,,,
공통수학2 진단평가,수학,27,함수와 그래프,규칙 발견,규칙 발견,단계별 해결,최상,주관식,5,8,총괄 심화,29,,,
공통수학2 진단평가,수학,28,함수와 그래프,규칙 발견,규칙 발견,단계별 해결,최상,객관식,4,③ 24,공통수학2 입학 심화형,14,,,
공통수학2 진단평가,수학,29,함수와 그래프,개념 이해,개념 이해,연산 처리,최상,객관식,4,① -1,공통수학2 입학 심화형,29,,,
공통수학2 진단평가,수학,30,함수와 그래프,개념 이해,개념 이해,단계별 해결,최상,객관식,4,"⑤ ㄱ, ㄷ, ㄹ",총괄 응용,15,,,
