문항,단원,유형,주유형,부유형,난이도,형식,배점,출처,원문항,정답
1,기본 도형과 작도,개념 이해,개념 이해,공식 활용,표준,객관식,2,중1-2 입학 일반형,2,⑤ 20
2,기본 도형과 작도,표현 해석,표현 해석,개념 이해,상,객관식,3,총괄 기본,4,③ AD 와 BF 는 평행하다
3,기본 도형과 작도,개념 이해,개념 이해,근거 제시,상,객관식,3,단원 TEST Ⅴ,7,"② ㄱ, ㄷ"
4,기본 도형과 작도,공식 활용,공식 활용,연산 처리,상,객관식,3,중1-2 입학 심화형,5,④ 113.5°
5,기본 도형과 작도,근거 제시,근거 제시,개념 이해,상,객관식,3,중1-2 입학 일반형,5,"①, ⑤"
6,기본 도형과 작도,단계별 해결,단계별 해결,표현 해석,최상,서술형,5,총괄 심화,22,100
7,기본 도형과 작도,근거 제시,근거 제시,개념 이해,최상,객관식,4,중1-2 입학 일반형,3,"③ l ⊥ P, m ⊥ P 이면 l ∥ m 이다"
8,기본 도형과 작도,식 설정,식 설정,연산 처리,최상,서술형,5,중1-2 입학 일반형,21,6cm
9,평면도형의 성질,공식 활용,공식 활용,연산 처리,표준,객관식,2,단원 TEST Ⅵ,11,② 120°
10,평면도형의 성질,연산 처리,공식 활용,연산 처리,상,서술형,4,총괄 기본,23,9
11,평면도형의 성질,규칙 발견,규칙 발견,공식 활용,상,객관식,3,총괄 기본,25,⑤ (16π + 60) m²
12,평면도형의 성질,근거 제시,근거 제시,공식 활용,상,객관식,3,단원 TEST Ⅵ,13,"② ㄱ, ㄷ"
13,평면도형의 성질,개념 이해,개념 이해,공식 활용,상,객관식,3,총괄 심화,10,② (8π + 16) cm
14,평면도형의 성질,식 설정,식 설정,단계별 해결,최상,객관식,4,총괄 기본,8,⑤ 28°
15,평면도형의 성질,규칙 발견,규칙 발견,공식 활용,최상,객관식,4,단원 TEST Ⅵ,17,③ 9/2 π cm^2
16,평면도형의 성질,단계별 해결,단계별 해결,공식 활용,최상,객관식,4,중1-2 입학 일반형,24,② 84°
17,입체도형의 성질,식 설정,식 설정,공식 활용,표준,객관식,2,중1-2 입학 일반형,12,⑤ 십각형
18,입체도형의 성질,표현 해석,표현 해석,개념 이해,상,객관식,3,단원 TEST Ⅶ,7,②
19,입체도형의 성질,개념 이해,개념 이해,표현 해석,상,객관식,3,단원 TEST Ⅶ,9,④
20,입체도형의 성질,식 설정,식 설정,공식 활용,상,객관식,3,중1-2 입학 심화형,16,③ 3cm
21,입체도형의 성질,규칙 발견,규칙 발견,식 설정,최상,객관식,4,단원 TEST Ⅶ,8,③ 12/5 cm
22,입체도형의 성질,단계별 해결,단계별 해결,표현 해석,최상,객관식,4,단원 TEST Ⅶ,16,② 84π cm²
23,입체도형의 성질,표현 해석,표현 해석,단계별 해결,최상,서술형,5,중1-2 입학 일반형,28,972
24,자료의 정리와 해석,개념 이해,개념 이해,근거 제시,표준,객관식,2,단원 TEST Ⅷ,3,"④ 30, 32, 34, 36, 100"
25,자료의 정리와 해석,연산 처리,연산 처리,근거 제시,표준,객관식,2,총괄 응용,18,③ A 에 알맞은 수는 7이다
26,자료의 정리와 해석,단계별 해결,단계별 해결,개념 이해,상,객관식,3,단원 TEST Ⅷ,1,"③ 중앙값 5, 최빈값 3과 6"
27,자료의 정리와 해석,공식 활용,공식 활용,개념 이해,상,객관식,3,단원 TEST Ⅷ,11,② 200
28,자료의 정리와 해석,표현 해석,표현 해석,연산 처리,상,객관식,3,중1-2 입학 심화형,18,② 25%
29,자료의 정리와 해석,연산 처리,연산 처리,개념 이해,상,서술형,4,총괄 응용,29,6명
30,자료의 정리와 해석,단계별 해결,단계별 해결,근거 제시,최상,객관식,4,단원 TEST Ⅷ,2,④ 7
