시험지,과목,문항번호,단원,유형,주유형,부유형,난이도,형식,배점,정답,출처,원문항,문제지,해설,출제표
중2-2 진단평가,수학,1,도형의 성질,연산 처리,공식 활용,연산 처리,표준,서술형,3,133°,총괄 기본,3,중2-2_진단평가_문제지.pdf,중2-2_진단평가_해설.pdf,중2-2_진단평가_출제표.csv
중2-2 진단평가,수학,2,도형의 성질,공식 활용,공식 활용,표현 해석,표준,객관식,2,③ 50°,총괄 기본,5,,,
중2-2 진단평가,수학,3,도형의 성질,근거 제시,근거 제시,공식 활용,상,객관식,3,③ 8cm,총괄 기본,4,,,
중2-2 진단평가,수학,4,도형의 성질,근거 제시,근거 제시,규칙 발견,상,객관식,3,⑤,총괄 응용,5,,,
중2-2 진단평가,수학,5,도형의 성질,개념 이해,개념 이해,근거 제시,상,객관식,3,④,중2-2 입학 일반형,6,,,
중2-2 진단평가,수학,6,도형의 성질,규칙 발견,규칙 발견,근거 제시,최상,서술형,5,22cm²,단원 TEST Ⅵ,4,,,
중2-2 진단평가,수학,7,도형의 성질,식 설정,식 설정,단계별 해결,최상,객관식,4,④ 60°,총괄 심화,2,,,
중2-2 진단평가,수학,8,도형의 성질,단계별 해결,단계별 해결,공식 활용,최상,객관식,4,① 10°,중2-2 입학 일반형,20,,,
중2-2 진단평가,수학,9,도형의 닮음,연산 처리,공식 활용,연산 처리,표준,서술형,3,65,총괄 기본,14,,,
중2-2 진단평가,수학,10,도형의 닮음,개념 이해,개념 이해,근거 제시,상,객관식,3,⑤,총괄 기본,6,,,
중2-2 진단평가,수학,11,도형의 닮음,규칙 발견,규칙 발견,연산 처리,상,객관식,3,"② ㄱ, ㄹ",총괄 기본,9,,,
중2-2 진단평가,수학,12,도형의 닮음,식 설정,식 설정,연산 처리,상,객관식,3,② 4cm²,단원 TEST Ⅶ,13,,,
중2-2 진단평가,수학,13,도형의 닮음,공식 활용,공식 활용,개념 이해,상,객관식,3,"③, ④",단원 TEST Ⅶ,16,,,
중2-2 진단평가,수학,14,도형의 닮음,표현 해석,표현 해석,공식 활용,상,객관식,3,⑤ 17,단원 TEST Ⅶ,20,,,
중2-2 진단평가,수학,15,도형의 닮음,표현 해석,표현 해석,연산 처리,상,객관식,3,② 3.2m,총괄 심화,11,,,
중2-2 진단평가,수학,16,도형의 닮음,근거 제시,근거 제시,개념 이해,상,객관식,3,"② △ABC∽△DBA, SAS 닮음",중2-2 입학 심화형,6,,,
중2-2 진단평가,수학,17,도형의 닮음,공식 활용,공식 활용,단계별 해결,상,객관식,3,⑤ 150,총괄 응용,7,,,
중2-2 진단평가,수학,18,도형의 닮음,개념 이해,개념 이해,근거 제시,상,객관식,3,⑤,중2-2 입학 일반형,10,,,
중2-2 진단평가,수학,19,도형의 닮음,식 설정,식 설정,공식 활용,최상,객관식,4,② 5,총괄 기본,10,,,
중2-2 진단평가,수학,20,도형의 닮음,단계별 해결,단계별 해결,근거 제시,최상,객관식,4,② 12cm²,단원 TEST Ⅶ,8,,,
중2-2 진단평가,수학,21,도형의 닮음,근거 제시,근거 제시,공식 활용,최상,객관식,4,③ 81/2 cm²,단원 TEST Ⅶ,14,,,
중2-2 진단평가,수학,22,도형의 닮음,규칙 발견,규칙 발견,식 설정,최상,서술형,5,32,총괄 응용,14,,,
중2-2 진단평가,수학,23,도형의 닮음,단계별 해결,단계별 해결,규칙 발견,최상,객관식,4,② 4배,총괄 응용,25,,,
중2-2 진단평가,수학,24,확률,공식 활용,공식 활용,개념 이해,표준,객관식,2,④ 20,단원 TEST Ⅷ,6,,,
중2-2 진단평가,수학,25,확률,공식 활용,공식 활용,개념 이해,표준,객관식,2,③ 120,총괄 응용,16,,,
중2-2 진단평가,수학,26,확률,표현 해석,표현 해석,단계별 해결,상,객관식,3,⑤ 30,단원 TEST Ⅷ,8,,,
중2-2 진단평가,수학,27,확률,연산 처리,공식 활용,연산 처리,상,객관식,3,⑤ 3/4,단원 TEST Ⅷ,13,,,
중2-2 진단평가,수학,28,확률,개념 이해,개념 이해,연산 처리,상,객관식,3,⑤,중2-2 입학 심화형,16,,,
중2-2 진단평가,수학,29,확률,단계별 해결,단계별 해결,규칙 발견,최상,서술형,5,2/5,단원 TEST Ⅷ,10,,,
중2-2 진단평가,수학,30,확률,단계별 해결,단계별 해결,규칙 발견,최상,객관식,4,③ 5/16,총괄 응용,20,,,
