문항,단원,유형,난이도,형식,배점,출처,원문항,정답
1,중2-1 복습 · 식의 계산,연산·식 정리,표준,객관식,3,입학 심화형 (중2-1),24,③ -45/4
2,중2-1 복습 · 식의 계산,연산·식 정리,상,객관식,3,응용 (중2-1),9,② 3
3,중2-1 복습 · 식의 계산,연산·식 정리,상,서술형,5,심화 (중2-1),5,3/4
4,도형의 성질,공식·절차 적용,표준,객관식,3,응용,3,100°
5,도형의 성질,개념 이해,상,객관식,3,입학 심화형,4,④
6,도형의 성질,공식·절차 적용,상,객관식,3,입학 심화형,3,③ 168°
7,도형의 성질,다단계 해결,상,객관식,3,심화,2,④ 60°
8,도형의 성질,공식·절차 적용,상,객관식,3,입학 심화형,11,⑤ 13/6
9,도형의 성질,다단계 해결,상,객관식,3,입학 심화형,21,8 cm
10,도형의 성질,표현 해석,상,객관식,3,응용,5,⑤
11,도형의 성질,논증·정당화,최상,서술형,5,입학 심화형,22,4 cm²
12,도형의 성질,다단계 해결,최상,객관식,3,입학 심화형,26,③ 10 cm²
13,도형의 성질,다단계 해결,최상,객관식,3,입학 심화형,23,③ 70°
14,도형의 닮음,실생활 적용,표준,객관식,3,심화,11,② 3.2 m
15,도형의 닮음,개념 이해,상,객관식,3,입학 심화형,6,"② △ABC∽△DBA, SAS 닮음"
16,도형의 닮음,공식·절차 적용,표준,객관식,3,입학 심화형,15,④ 113
17,도형의 닮음,표현 해석,상,객관식,3,입학 심화형,13,① 56 cm
18,도형의 닮음,규칙 발견,상,객관식,3,입학 심화형,10,⑤ 76 cm³
19,도형의 닮음,다단계 해결,표준,객관식,3,입학 심화형,9,23/2
20,도형의 닮음,공식·절차 적용,상,서술형,5,응용,11,96/13
21,도형의 닮음,논증·정당화,최상,객관식,3,입학 심화형,14,④ △BCA
22,도형의 닮음,규칙 발견,최상,객관식,3,심화,27,③ 27 cm²
23,도형의 닮음,다단계 해결,최상,서술형,5,입학 심화형,28,7/2 cm
24,확률,개념 이해,표준,객관식,3,입학 심화형,16,⑤
25,확률,공식·절차 적용,표준,객관식,3,응용,16,③ 120
26,확률,규칙 발견,상,객관식,3,입학 심화형,17,7
27,확률,표현 해석,상,객관식,3,심화,18,18가지
28,확률,실생활 적용,상,객관식,3,입학 심화형,30,20개
29,확률,논증·정당화,최상,객관식,3,입학 심화형,19,3/25
30,확률,실생활 적용,최상,서술형,5,심화,30,1/20
